record_id,transaction_type,failure_reason,amount_inr,attempt_count,last_attempt_date,customer_name,customer_language_pref,payment_method,past_recovery_success,subscription_id,days_past_due,invoice_id,due_date,po_reference,counterparty_business_name,checkout_session_id,hours_since_checkout,promised_payment_date,recovery_status
TXN0001,subscription,card_expired,499,2,2026-09-04,Pranav Taneja,hinglish,upi_autopay,False,SUB0001,9,,,,,,,,
TXN0002,subscription,mandate_revoked,299,1,2026-08-30,Ganga Kade,hi,upi_autopay,True,SUB0002,1,,,,,,,,
TXN0003,b2b_invoice,invoice_overdue,120000,3,2026-09-02,Kashish Natarajan,hinglish,,True,,,INV0003,2026-07-30,PO-61993,Wadhwa-Grewal,,,,
TXN0004,subscription,card_expired,299,1,2026-09-03,Dhruv Chawla,hi,netbanking,False,SUB0004,8,,,,,,,,
TXN0005,subscription,bank_decline,499,2,2026-09-03,Ayaan Wali,en,credit_card,False,SUB0005,1,,,,,,,,
TXN0006,b2b_invoice,invoice_overdue,75000,3,2026-09-02,Atharv Mukherjee,hi,,True,,,INV0006,2026-08-15,PO-86750,Amble Inc,,,,
TXN0007,checkout_abandonment,cart_abandoned,9999,0,2026-09-03,Gopal Magar,hinglish,,True,,,,,,,order_cart_0007,0,,
TXN0008,subscription,3ds_auth_fail,199,1,2026-09-01,Arunima Dhaliwal,hinglish,upi_autopay,False,SUB0008,8,,,,,,,,
TXN0009,b2b_invoice,bank_decline,120000,0,2026-08-30,Hamsini Rout,en,,False,,,INV0009,2026-07-31,PO-51123,"Hora, Ram and Dhaliwal",,,,
TXN0010,subscription,bank_decline,199,2,2026-08-24,Teerth Nadig,hi,upi_autopay,True,SUB0010,4,,,,,,,,
TXN0011,b2b_invoice,invoice_overdue,250000,1,2026-09-01,Aarush Dhawan,hinglish,,False,,,INV0011,2026-08-17,PO-60566,"Lal, Sankaran and Gade",,,,
TXN0012,one_time_payment,bank_decline,25000,1,2026-08-31,Dakshesh Sur,en,upi_autopay,False,,,,,,,,,,
TXN0013,one_time_payment,3ds_auth_fail,5999,1,2026-08-29,Ryan Hora,en,credit_card,False,,,,,,,,,,
TXN0014,subscription,card_expired,499,2,2026-09-01,Ati Sahni,hinglish,netbanking,False,SUB0014,10,,,,,,,,
TXN0015,one_time_payment,hard_decline,499,1,2026-09-03,Yachana Peri,en,credit_card,True,,,,,,,,,,
TXN0016,b2b_invoice,bank_decline,120000,1,2026-08-30,Jagvi Dasgupta,hinglish,,True,,,INV0016,2026-07-27,PO-51761,Wali-Sahni,,,,
TXN0017,checkout_abandonment,cart_abandoned,5999,0,2026-08-24,Darpan Varma,hinglish,,False,,,,,,,order_cart_0017,30,,
TXN0018,subscription,3ds_auth_fail,999,2,2026-09-02,Max Sagar,en,credit_card,True,SUB0018,2,,,,,,,,
TXN0019,subscription,mandate_revoked,499,1,2026-08-27,Nachiket Sharma,en,upi_autopay,True,SUB0019,9,,,,,,,,
TXN0020,subscription,card_expired,1499,3,2026-08-26,Anmol Raghavan,hi,debit_card,False,SUB0020,5,,,,,,,,
TXN0021,b2b_invoice,invoice_overdue,15000,2,2026-08-29,Bahadurjit Dara,hi,,False,,,INV0021,2026-08-16,PO-28889,"Pillai, Gara and Kashyap",,,,
TXN0022,subscription,bank_decline,1499,2,2026-08-23,Chanakya Suri,hinglish,credit_card,True,SUB0022,0,,,,,,,,
TXN0023,subscription,mandate_revoked,2499,2,2026-08-28,Mugdha Murty,en,debit_card,True,SUB0023,13,,,,,,,,
TXN0024,subscription,bank_decline,1499,2,2026-09-03,Raagini Kapoor,hi,credit_card,True,SUB0024,8,,,,,,,,
TXN0025,one_time_payment,bank_decline,5999,2,2026-08-24,Avi Sheth,en,credit_card,True,,,,,,,,,,
TXN0026,subscription,mandate_revoked,999,2,2026-09-05,Avi Shetty,en,debit_card,False,SUB0026,4,,,,,,,,
TXN0027,subscription,mandate_revoked,499,2,2026-08-22,Eiravati Saini,hinglish,debit_card,False,SUB0027,1,,,,,,,,
TXN0028,subscription,card_expired,999,2,2026-09-02,Madhavi Natarajan,hi,upi_autopay,False,SUB0028,14,,,,,,,,
TXN0029,one_time_payment,bank_downtime,5999,2,2026-08-30,Unni Bajaj,hinglish,credit_card,True,,,,,,,,,,
TXN0030,b2b_invoice,bank_decline,250000,0,2026-08-25,Lipika Om,hi,,False,,,INV0030,2026-08-10,PO-21130,Chahal Inc,,,,
TXN0031,one_time_payment,hard_decline,9999,1,2026-08-27,Mason Basak,hi,credit_card,True,,,,,,,,,,
TXN0032,checkout_abandonment,cart_abandoned,9999,0,2026-09-03,Ishanvi Kohli,en,,True,,,,,,,order_cart_0032,0,,
TXN0033,one_time_payment,hard_decline,2999,2,2026-09-02,Jatin Ganguly,en,upi_autopay,False,,,,,,,,,,
TXN0034,b2b_invoice,bank_decline,75000,1,2026-08-23,Jackson Ramaswamy,en,,True,,,INV0034,2026-08-13,PO-96831,"Basu, Wable and Sahni",,,,
TXN0035,b2b_invoice,bank_decline,25000,2,2026-09-03,Idika Prakash,hinglish,,True,,,INV0035,2026-08-07,PO-89764,"Virk, Bir and Dash",,,,
TXN0036,subscription,card_expired,1499,1,2026-08-27,Sara Iyengar,hinglish,upi_autopay,True,SUB0036,0,,,,,,,,
TXN0037,subscription,mandate_revoked,299,3,2026-08-24,Zaid Kohli,en,upi_autopay,False,SUB0037,3,,,,,,,,
TXN0038,subscription,insufficient_funds,499,2,2026-09-05,Balendra Mannan,en,netbanking,True,SUB0038,9,,,,,,,,
TXN0039,checkout_abandonment,cart_abandoned,1200,0,2026-08-28,Bhavani Muni,hinglish,,True,,,,,,,order_cart_0039,50,,
TXN0040,one_time_payment,bank_decline,25000,2,2026-09-02,Girindra Mani,hi,credit_card,False,,,,,,,,,,
TXN0041,subscription,card_expired,299,2,2026-08-26,Sathvik Lal,hi,upi_autopay,True,SUB0041,11,,,,,,,,
TXN0042,b2b_invoice,bank_decline,75000,0,2026-09-03,Krisha Goyal,hi,,True,,,INV0042,2026-08-29,PO-73866,"Anne, Batta and Dubey",,,,
TXN0043,subscription,card_expired,999,1,2026-08-28,Faras Pillai,hi,debit_card,False,SUB0043,3,,,,,,,,
TXN0044,subscription,insufficient_funds,999,2,2026-08-31,Banjeet Pingle,hinglish,netbanking,True,SUB0044,11,,,,,,,,
TXN0045,subscription,bank_decline,299,2,2026-08-28,Tanvi Chhabra,en,upi_autopay,False,SUB0045,14,,,,,,,,
TXN0046,subscription,bank_decline,299,1,2026-08-24,Forum Wali,en,debit_card,True,SUB0046,13,,,,,,,,
TXN0047,b2b_invoice,bank_decline,50000,1,2026-08-22,Gauri Wagle,hinglish,,True,,,INV0047,2026-07-22,PO-21725,Mani Ltd,,,,
TXN0048,subscription,card_expired,499,2,2026-09-01,Fariq Mukhopadhyay,en,upi_autopay,False,SUB0048,1,,,,,,,,
TXN0049,b2b_invoice,invoice_overdue,120000,1,2026-09-04,Alexander Goda,hi,,False,,,INV0049,2026-08-14,PO-64756,"Nadig, Dada and Mandal",,,,
TXN0050,checkout_abandonment,cart_abandoned,1200,0,2026-08-28,Anita Seth,hinglish,,True,,,,,,,order_cart_0050,0,,
TXN0051,subscription,card_expired,499,1,2026-08-26,Yoshita Manne,hi,credit_card,False,SUB0051,7,,,,,,,,
TXN0052,b2b_invoice,invoice_overdue,15000,2,2026-09-05,Ijaya Patla,hi,,False,,,INV0052,2026-09-04,PO-76277,"Batta, Suresh and Mani",,,,
TXN0053,b2b_invoice,invoice_overdue,250000,3,2026-08-22,William Sanghvi,hi,,False,,,INV0053,2026-07-24,PO-66646,Raja-Doshi,,,,
TXN0054,one_time_payment,insufficient_funds,1200,1,2026-09-01,Adweta Sami,hinglish,credit_card,False,,,,,,,,,,
TXN0055,one_time_payment,hard_decline,499,2,2026-09-05,Krishna Murty,en,upi_autopay,False,,,,,,,,,,
TXN0056,one_time_payment,3ds_auth_fail,9999,0,2026-08-26,Meghana Bahl,hi,debit_card,True,,,,,,,,,,
TXN0057,subscription,3ds_auth_fail,499,0,2026-08-29,Chatresh Chada,en,debit_card,True,SUB0057,5,,,,,,,,
TXN0058,checkout_abandonment,cart_abandoned,1200,0,2026-08-22,Udarsh Agrawal,hi,,True,,,,,,,order_cart_0058,12,,
TXN0059,subscription,3ds_auth_fail,299,0,2026-08-28,Girindra Naidu,hinglish,credit_card,True,SUB0059,8,,,,,,,,
TXN0060,one_time_payment,bank_downtime,25000,1,2026-09-03,Vasudha Mall,hi,upi_autopay,False,,,,,,,,,,
TXN0061,subscription,mandate_revoked,499,1,2026-08-25,Anay Gera,hinglish,netbanking,False,SUB0061,11,,,,,,,,
TXN0062,checkout_abandonment,cart_abandoned,5999,0,2026-08-26,Pranav Baria,en,,False,,,,,,,order_cart_0062,50,,
TXN0063,one_time_payment,insufficient_funds,9999,0,2026-08-24,Chanchal Sahni,hinglish,upi_autopay,False,,,,,,,,,,
TXN0064,one_time_payment,hard_decline,499,1,2026-09-03,Alka Gour,hinglish,debit_card,True,,,,,,,,,,
TXN0065,b2b_invoice,invoice_overdue,50000,3,2026-08-28,Ekalinga Bal,hinglish,,True,,,INV0065,2026-08-04,PO-10434,Rajagopalan-Kothari,,,,
TXN0066,b2b_invoice,invoice_overdue,120000,3,2026-08-22,Tejas Dubey,hinglish,,False,,,INV0066,2026-07-24,PO-18657,Som and Sons,,,,
TXN0067,one_time_payment,3ds_auth_fail,1200,1,2026-08-23,Orinder Mutti,hi,credit_card,False,,,,,,,,,,
